Model,AIC,LogLik,Num_Observations,RMSE,AIC_Improvement_vs_Poisson,Selected_Final_Model
Poisson Regression,230868.87530785112,-115417.43765392556,542410,5.1230007656699,0.0,False
Negative Binomial Regression,230102.9411869095,-115034.47059345475,542410,5.122935161302417,765.9341209416161,True
